"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Burundi","BDI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","436.226498610657","426.990057888291","407.433788674221","376.331432012903","324.093293500902","298.306210120784","278.362772404445","237.547247447923","202.693030497666","174.734303277644","169.125101831404","163.753671978682","164.658818624388","171.894158741788","180.61369351037","199.352521285247","232.14327149869","249.792189442551","287.231308346164","290.888599911847","298.68291317338","284.007131422278","261.401693895905","",
"Belgium","BEL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412.44634377452","430.845859029365","453.701487247407","470.195612914547","488.901842966683","494.038654780175","492.795768373025","488.0070112946","469.767648660766","439.576216509454","408.963963534769","380.813005455267","364.564166566308","364.117694420166","369.022757187953","389.70726849696","419.330227080879","420.503313894315","408.066858487073","401.714779384699","378.154274066621","383.450662639038","383.450662639038","",
"Burkina Faso","BFA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","599.3173545017","599.748207394036","594.74928850866","584.463590331398","561.277547923814","530.65224900291","513.212126478443","521.352064779237","551.823983750403","570.775683254631","570.472881013623","556.661523512119","535.215171068473","488.774131331051","447.606368839091","419.282114240716","374.321120004267","357.614175298089","357.025623452757","356.663249273088","377.402134851017","376.771822989732","353.678123439894","",
"Bangladesh","BGD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.79556521425609","6.79562361585442","6.79559192359474","6.79560206199653","6.79563065919523","6.79558382861898","4.45893884554867","8.17178694372001","7.72347431344839","5.09802549942504","4.33381350638823","3.91839058370565","2.15821645358334","1.9032681464696","3.94300591224804","2.67370121662283","1.83629233987756","1.91155626981395","0.702767339850168","1.18860442188651","0.418167756821788","0.491683783004288","1.21693558480419","",
"Bulgaria","BGR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.95828309621413","6.7878193108202","6.42016407085959","7.26841533174497","5.67721869541136","8.0069058917181","4.23645864182348","4.12096620807709","2.56030951297223","1.18093709203467","0.674906525446226","0.316649148345728","0.141892763469063","0.0840922660342928","0.0781536006186475","0.0362450163102573","0.0157825169168853","0.0270753235501164","0.0113798008534851","0","0","0","0","",
"Bermuda","BMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7096733645783","5.62775417828614","4.895581321802","6.70907701518109","4.83264289313775","6.4161886532468","5.94610713849311","4.49399385971403","2.94699776554658","2.92632862424835","4.0230789630853","2.0523850070731","2.09544886358186","2.2376170383889","2.21979526760001","1.85143298726874","1.46975590700966","1.19411144037789","1.37474495338135","2.36832619192089","3.04815553903379","2.45908190625927","2.5221292634975","",
